Date,Open,High,Low,Close,Volume,Market Cap,Currency
3/31/2018,10.39,11.39,10.29,11.06,"89,256,304","1,094,688,883",$
3/30/2018,10.17,10.75,9.74,10.35,"75,551,600","1,024,834,506",$
3/29/2018,11.7,11.73,10.17,10.2,"81,352,096","1,009,556,645",$
3/28/2018,11.52,12.25,11.39,11.64,"92,931,200","1,152,562,566",$
3/27/2018,12.12,12.23,10.88,11.51,"102,579,000","1,139,482,816",$
3/26/2018,12.91,12.91,10.96,12.06,"132,353,000","1,194,247,460",$
3/25/2018,13.14,14.23,12.57,12.78,"189,518,000","1,265,705,863",$
3/24/2018,11.71,14.84,11.6,13.09,"255,358,000","1,296,004,147",$
3/23/2018,10.05,11.98,9.54,11.74,"157,246,000","1,162,186,726",$
3/22/2018,10.03,10.91,9.57,10.07,"112,305,000","996,704,628",$
3/21/2018,9.17,10.29,9.08,9.98,"131,761,000","988,357,748",$
3/20/2018,8.99,9.24,8.66,9.16,"96,919,504","907,060,323",$
3/19/2018,9.09,9.26,8.5,8.99,"97,938,896","890,407,158",$
3/18/2018,8.96,8.96,7.86,8.95,"94,840,304","886,358,476",$
3/17/2018,9.2,9.5,8.66,8.99,"94,679,904","889,912,088",$
3/16/2018,9.13,9.39,8.64,9.11,"97,626,000","902,148,238",$
3/15/2018,8.94,9.4,8.42,9.1,"104,531,000","900,936,307",$
3/14/2018,10.13,10.67,8.55,8.96,"124,112,000","887,087,219",$
3/13/2018,8,11,7.9,10.12,"216,111,008","1,001,546,413",$
3/12/2018,8.3,8.55,7.74,8.04,"51,188,100","796,000,280",$
3/11/2018,7.65,8.42,7.38,8.27,"45,451,700","819,081,433",$
3/10/2018,8.27,8.35,7.63,7.67,"41,645,000","759,601,743",$
3/9/2018,8.26,8.33,7.17,8.31,"46,893,300","823,110,313",$
3/8/2018,9.04,9.14,8.12,8.31,"48,535,100","822,849,906",$
3/7/2018,9.4,10.13,8.24,9.03,"79,740,800","894,579,608",$
3/6/2018,10.15,10.15,9.15,9.38,"38,182,600","929,185,001",$
3/5/2018,10.4,10.44,10.1,10.11,"38,605,100","1,001,081,047",$
3/4/2018,10.21,10.39,9.9,10.35,"37,886,900","1,024,606,773",$
3/3/2018,10.29,10.45,10.13,10.22,"40,001,900","1,011,715,151",$
3/2/2018,10.46,10.54,10.14,10.22,"46,449,100","1,012,398,347",$
3/1/2018,10.45,10.67,10.33,10.51,"72,474,200","1,040,607,436",$
2/28/2018,10.69,11.18,10.39,10.44,"69,036,400","1,033,527,935",$
2/27/2018,9.97,11.1,9.82,10.66,"97,184,400","1,055,479,339",$
2/26/2018,9.37,10.06,9.13,9.9,"53,540,300","980,468,312",$
2/25/2018,9.15,9.49,8.94,9.35,"43,814,500","925,444,252",$
2/24/2018,9.69,9.84,8.78,9.14,"48,709,200","905,177,077",$
2/23/2018,8.87,9.73,8.66,9.69,"53,626,800","959,654,580",$
2/22/2018,9.4,9.81,8.71,8.9,"47,216,100","881,623,626",$
2/21/2018,9.88,10.19,9.15,9.38,"55,087,600","928,829,541",$
2/20/2018,11.09,11.19,9.79,9.9,"66,512,400","980,685,153",$
2/19/2018,10.67,11.19,10.65,11.08,"54,898,800","1,096,649,360",$
2/18/2018,11.69,11.7,10.68,10.7,"62,044,700","1,059,687,434",$
2/17/2018,11.08,11.87,10.95,11.69,"76,093,504","1,157,404,350",$
2/16/2018,10.91,11.2,10.43,11.2,"71,131,800","1,109,115,222",$
2/15/2018,10.39,11.28,10.1,10.93,"108,962,000","1,082,331,935",$
2/14/2018,9.02,10.65,8.99,10.4,"68,781,600","1,029,805,008",$
2/13/2018,9.32,9.35,8.77,8.99,"41,593,400","889,817,035",$
2/12/2018,8.71,9.4,8.71,9.32,"50,792,600","923,055,045",$
2/11/2018,9.2,9.35,8.14,8.7,"68,554,600","861,907,959",$
2/10/2018,9.73,10.36,8.85,9.26,"80,123,200","916,470,614",$
2/9/2018,8.61,9.89,8.34,9.73,"9,284","963,451,766",$
2/8/2018,8.09,8.72,8.09,8.6,"82,496,000","851,074,837",$
2/7/2018,8.32,9.22,7.35,8.1,"77,970,304","801,519,320",$
2/6/2018,6.81,8.56,5.59,8.29,"97,189,904","820,712,194",$
2/5/2018,8.43,8.55,6.13,6.71,"55,276,900","663,891,840",$
2/4/2018,9.75,9.75,8.1,8.46,"49,990,000","837,523,781",$
2/3/2018,9.7,10.27,8.61,9.75,"56,556,200","965,354,816",$
2/2/2018,9.41,10.46,7.22,9.65,"91,468,200","955,711,842",$
2/1/2018,11.18,11.39,8.71,9.52,"82,984,200","942,201,382",$
1/31/2018,11.27,11.41,10.57,11.15,"50,435,000","1,103,511,030",$
1/30/2018,12.77,12.77,11.06,11.25,"59,389,600","1,113,976,810",$
1/29/2018,13.55,13.67,12.68,12.76,"71,294,304","1,263,864,203",$
1/28/2018,13.3,13.81,13.2,13.54,"93,871,104","1,340,669,363",$
1/27/2018,13.23,13.44,12.89,13.25,"84,009,400","1,312,232,542",$
1/26/2018,13.21,13.59,12.29,13.22,"113,429,000","1,308,786,855",$
1/25/2018,13.76,14.14,13.06,13.23,"105,648,000","1,309,796,798",$
1/24/2018,13.19,14.19,12.79,13.63,"105,736,000","1,349,432,102",$
1/23/2018,13,13.96,11.78,13.09,"91,706,200","1,296,439,809",$
1/22/2018,14.2,14.45,11.91,13.01,"138,026,000","1,288,627,604",$
1/21/2018,16.25,16.25,13.36,14.07,"141,562,000","1,392,958,656",$
1/20/2018,15.03,16.65,15.03,16.19,"156,744,992","1,603,066,364",$
1/19/2018,14.31,15.64,13.99,14.94,"139,882,000","1,479,328,568",$
1/18/2018,14.25,15.96,13.51,14.28,"204,899,008","1,413,959,526",$
1/17/2018,13.62,15.54,9.66,14.2,"299,411,008","1,406,315,645",$
1/16/2018,19.63,19.63,10.44,13.89,"399,951,008","1,375,492,587",$
1/15/2018,20.8,23.6,19.33,19.56,"244,154,000","1,937,179,206",$
1/14/2018,22.25,22.25,19.14,20.78,"129,239,000","2,057,243,582",$
1/13/2018,22.35,23.67,21.37,22.17,"181,676,000","2,195,576,042",$
1/12/2018,21.48,24.91,19.93,22.32,"387,537,984","2,209,626,128",$
1/11/2018,17.57,23.15,15.29,21.04,"389,228,000","2,083,521,898",$
1/10/2018,17.71,17.71,15.17,17.39,"146,582,000","1,721,932,671",$
1/9/2018,18.17,20.32,16.8,17.41,"194,750,000","1,724,011,965",$
1/8/2018,18.65,19.22,15.35,18.26,"296,617,984","1,808,084,753",$
1/7/2018,22.77,22.77,18.24,18.66,"258,050,000","1,847,284,395",$
1/6/2018,14.87,23.51,14.82,22.76,"637,020,992","2,253,538,837",$
1/5/2018,9.15,16.72,9.09,14.92,"341,504,992","1,477,011,641",$
1/4/2018,9.45,9.54,8.85,9.21,"158,819,008","912,314,006",$
1/3/2018,8.77,9.58,8.53,9.54,"108,852,000","944,185,622",$
1/2/2018,8.46,9.12,8.22,8.84,"104,789,000","875,062,959",$
1/1/2018,8.63,8.7,7.96,8.41,"66,422,800","833,164,195",$
12/31/2017,7.76,8.84,7.71,8.64,"74,927,904","855,043,318",$
12/30/2017,8.71,8.76,7.19,7.84,"72,933,904","776,369,764",$
12/29/2017,9.32,9.53,8.54,8.81,"70,849,400","872,075,706",$
12/28/2017,10.13,10.2,8.15,9.32,"109,298,000","922,950,090",$
12/27/2017,9.25,11.3,8.49,10.11,"167,808,000","1,000,734,498",$
12/26/2017,6.56,10.62,6.5,9.03,"167,812,992","894,038,992",$
12/25/2017,5.31,6.96,5.25,6.56,"66,374,400","649,532,830",$
12/24/2017,4.74,5.29,4.2,5.29,"43,676,900","523,356,320",$
12/23/2017,4.39,5.13,4.31,4.84,"32,930,300","479,154,490",$
12/22/2017,5.21,5.21,3.51,4.34,"36,672,600","429,339,556",$
12/21/2017,5.18,5.7,4.81,5.18,"46,905,500","512,893,510",$
12/20/2017,5.79,5.79,4.93,5.18,"47,866,900","512,517,257",$
12/19/2017,5.65,6.55,5.58,5.79,"66,695,200","573,521,763",$
12/18/2017,5.79,6.22,5.28,5.62,"66,623,700","556,047,772",$
12/17/2017,4.67,6.75,4.67,5.76,"98,159,600","569,995,874",$
12/16/2017,4.17,4.73,3.92,4.66,"54,002,400","461,865,655",$
12/15/2017,3.16,4.41,3.14,4,"52,745,900","395,674,796",$
12/14/2017,2.77,3.16,2.77,3.16,"40,335,300","312,759,482",$
12/13/2017,2.69,2.88,2.57,2.78,"28,429,500","275,070,793",$
12/12/2017,2.73,2.78,2.61,2.68,"24,523,200","265,827,837",$
12/11/2017,2.51,2.82,2.5,2.71,"19,427,000","267,996,243",$
12/10/2017,2.66,2.7,2.21,2.48,"19,258,500","245,888,397",$
12/9/2017,2.83,2.87,2.33,2.61,"27,217,000","258,469,116",$
